Industry,Activity,Location,Website / Link,Linkedin Page,Size of the Company,JOB Position,Certification,Accroche,Opportunity Status,number of contact iteration
Agri-food,Beverages,Sfax,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
Agri-food,Canned and Preserved Foods,Tunis,No,No,300-500,logistics,yes,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,Sfax,No,No,from 50 to 100,logistics,yes,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,Sfax,No,No,from 50 to 100,logistics,yes,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,Sfax,No,No,300-500,logistics,yes,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,Tunis,No,No,300-500,logistics,yes,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,tunis,No,No,300-500,logistics,yes,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,sousse,No,No,from 50 to 100,logistics,yes,E-mail,No,10
Agri-food,Sugars and Derivatives,Bizerte,No,No,from 50 to 100,logistics,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Tunis,No,No,300-500,logistics,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Ben Arous,No,No,300-500,logistics,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Ben Arous,No,No,300-500,logistics,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Sfax,No,No,from 50 to 100,logistics,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Sfax,No,No,from 50 to 100,logistics,yes,E-mail,No,10
Agri-food,Baby Food,Sfax,No,No,300-500,logistics,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Tunis,No,No,from 50 to 100,logistics,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Tunis,No,No,300-500,logistics,yes,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Nabeul,No,No,from 50 to 100,logistics,yes,E-mail,No,10
Agri-food,Sugars and Derivatives,Nabeul,No,No,from 50 to 100,logistics,yes,E-mail,No,10
Agri-food,Sugars and Derivatives,Siliana,No,No,300-500,logistics,yes,E-mail,No,10
Agri-food,Sugars and Derivatives,Nabeul,No,No,300-500,logistics,yes,E-mail,No,10
Agri-food,Sugars and Derivatives,Nabeul,No,No,300-500,RH,yes,E-mail,No,10
Agri-food,Sugars and Derivatives,Nabeul,No,No,from 50 to 100,RH,yes,E-mail,No,10
Agri-food,Sugars and Derivatives,Siliana,No,No,from 50 to 100,RH,yes,E-mail,No,10
Agri-food,Sugars and Derivatives,Nabeul,No,No,from 50 to 100,RH,yes,E-mail,No,10
Agri-food,Sugars and Derivatives,Siliana,No,No,300-500,RH,yes,E-mail,No,10
Agri-food,Sugars and Derivatives,Nabeul,No,No,from 50 to 100,RH,yes,E-mail,No,10
Agri-food,Sugars and Derivatives,Sfax,No,No,from 50 to 100,RH,yes,E-mail,No,10
Agri-food,Dairy and Dairy Derivatives,Sfax,No,No,300-500,RH,yes,E-mail,No,10
Agri-food,Dairy and Dairy Derivatives,Sfax,No,No,300-500,RH,yes,E-mail,No,10
Agri-food,Dairy and Dairy Derivatives,Ben Arous,No,No,300-500,RH,yes,E-mail,No,10
Agri-food,Dairy and Dairy Derivatives,Ben Arous,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Dairy and Dairy Derivatives,Ben Arous,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Beverages,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Beverages,Sousse,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Beverages,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Beverages,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Beverages,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Beverages,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Beverages,Bizerte,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Monastir,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Ariana,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Ariana,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,MaNouba,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,MaNouba,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,Tunis,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,MaNouba,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Flour-Based Products,MaNouba,No,No,300-500,RH,No,E-mail,No,10
Agri-food,Dairy and Dairy Derivatives,Tunis,No,No,from 50 to 100,RH,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Ariana,No,No,from 50 to 100,marketing agent,No,E-mail,No,10
Agri-food,Oils and Fats,Ariana,No,No,300-500,marketing agent,No,E-mail,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,marketing agent,No,E-mail,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,marketing agent,No,E-mail,No,10
Agri-food,Beverages,Tunis,No,No,from 50 to 100,marketing agent,No,E-mail,No,10
Agri-food,Beverages,Tunis,No,No,from 50 to 100,marketing agent,No,E-mail,No,10
Agri-food,Beverages,Tunis,No,No,300-500,marketing agent,No,E-mail,No,10
Agri-food,Beverages,Tunis,No,No,300-500,marketing agent,No,E-mail,No,10
Agri-food,Beverages,Tunis,No,No,300-500,marketing agent,No,E-mail,No,10
Agri-food,Biscuits and Confectioneries,Ben Arous,No,No,from 50 to 100,marketing agent,No,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,tunis,No,No,from 50 to 100,marketing agent,No,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,Sfax,No,No,300-500,marketing agent,No,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,Sfax,No,No,from 50 to 100,marketing agent,No,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,tunis,No,No,300-500,marketing agent,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,tunis,No,No,from 50 to 100,marketing agent,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,marketing agent,No,E-mail,No,10
Agri-food,Flour-Based Products,Sfax,No,No,300-500,marketing agent,No,E-mail,No,10
Agri-food,Beverages,Tunis,No,No,300-500,marketing agent,No,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,Gabes,No,No,300-500,marketing agent,No,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,Tunis,No,No,from 50 to 100,marketing agent,No,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,Bizerte,No,No,from 50 to 100,responsable de qualité,No,E-mail,No,10
Agri-food,Canned and Preserved Foods,Tunis,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Nabeul,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Oils and Fats,Tunis,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Oils and Fats,sousse,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Dairy and Dairy Derivatives,Sfax,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Sfax,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Sfax,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,tunis,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Sfax,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Oils and Fats,Sfax,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Oils and Fats,Ben Arous,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Flour-Based Products,Sfax,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Cereals and Derivatives,Sousse,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Beverages,Tunis,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Beverages,Zaghouan,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Beverages,Kélibia,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Beverages,Sfax,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Beverages,Kélibia,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,animal food manufacturing,Ben Arous,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,animal food manufacturing,Ben Arous,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Ben Arous,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Nabeul,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Beverages,Nabeul,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Menzel Temime,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Oils and Fats,Ben Arous,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Beverages,Sfax,No,No,300-500,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Canned and Preserved Foods,Sfax,No,No,from 50 to 100,responsable de qualité,No,Phone,No,10
Agri-food,Oils and Fats,Zaghouan,No,No,300-500,responsable de qualité,yes,Phone,No,10
Agri-food,Oils and Fats,Zaghouan,No,No,from 50 to 100,responsable de qualité,yes,Phone,No,10
Agri-food,Dairy and Dairy Derivatives,Zaghouan,No,No,from 50 to 100,responsable de qualité,yes,Phone,No,10
Agri-food,Canned and Preserved Foods,Ben Arous,No,No,300-500,responsable de qualité,yes,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Ben Arous,No,No,300-500,responsable de qualité,yes,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Ben Arous,No,No,300-500,responsable de qualité,yes,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Béja,No,No,from 50 to 100,responsable de qualité,yes,Phone,No,10
Agri-food,Healthy Snacks and Natural Products,Tunis,No,No,300-500,responsable de qualité,yes,E-mail,No,10
Agri-food,Dairy and Dairy Derivatives,Tunis,No,No,300-500,responsable de qualité,yes,E-mail,No,10
Agri-food,Beverages,Ben Arous,No,No,from 50 to 100,responsable de qualité,yes,E-mail,No,10
Agri-food,Healthy Snacks and Natural Products,Béja,No,No,300-500,responsable de qualité,yes,E-mail,yes,10
Agri-food,Healthy Snacks and Natural Products,Ben Arous,No,No,from 50 to 100,responsable de qualité,yes,E-mail,yes,10
Agri-food,Beverages,Ben Arous,No,No,from 50 to 100,responsable de qualité,yes,E-mail,yes,10
Agri-food,Healthy Snacks and Natural Products,Zaghouan,No,No,300-500,responsable de qualité,yes,E-mail,yes,10
Agri-food,Healthy Snacks and Natural Products,Bizerte,No,No,300-500,responsable de qualité,yes,E-mail,yes,10
industrial manufacturing,aluminium manufacturing,Bizerte,No,No,300-500,responsable de qualité,yes,E-mail,yes,10
industrial manufacturing,aluminium manufacturing,Bizerte,No,No,from 50 to 100,responsable de qualité,yes,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Ben Arous,No,No,from 50 to 100,responsable de qualité,yes,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,responsable de qualité,yes,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,responsable de qualité,yes,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,responsable de qualité,yes,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,responsable de qualité,yes,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,responsable de qualité,yes,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,responsable de qualité,yes,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,responsable de qualité,yes,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,responsable de qualité,yes,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,responsable de qualité,yes,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,logistics,No,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,logistics,No,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,yes,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Gabes,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Gabes,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Siliana,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Gabes,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Sfax,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Tunis,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,MaNouba,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,MaNouba,No,No,300-500,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Ben Arous,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Ben Arous,No,No,from 50 to 100,logistics,No,Phone,No,10
industrial manufacturing,aluminium manufacturing,Ben Arous,No,No,300-500,logistics,yes,Phone,No,10
industrial manufacturing,aluminium manufacturing,Ben Arous,No,No,300-500,logistics,yes,Phone,No,10
industrial manufacturing,aluminium manufacturing,Ben Arous,No,No,300-500,logistics,yes,Phone,No,10
industrial manufacturing,aluminium manufacturing,Ben Arous,No,No,from 50 to 100,logistics,yes,Phone,No,10
industrial manufacturing,aluminium manufacturing,Gabes,No,No,from 50 to 100,logistics,yes,Phone,No,10
industrial manufacturing,aluminium manufacturing,Ben Arous,No,No,from 50 to 100,logistics,yes,Phone,No,10
industrial manufacturing,car manufacturing,Ben Arous,No,No,300-500,logistics,yes,Phone,yes,10
industrial manufacturing,car manufacturing,Gabes,No,No,from 50 to 100,logistics,yes,Phone,yes,10
industrial manufacturing,car manufacturing,Gabes,No,No,from 50 to 100,logistics,yes,Phone,yes,10
industrial manufacturing,car manufacturing,Médnine,No,No,from 50 to 100,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Tunis,No,No,300-500,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Ariana,No,No,from 50 to 100,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,MaNouba,No,No,from 50 to 100,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Nabeul,No,No,300-500,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Béja,No,No,300-500,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Kef / SIliana,No,No,300-500,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Sousse,No,No,from 50 to 100,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Bizerte,No,No,from 50 to 100,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Tunis,No,No,300-500,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Gabes,No,No,from 50 to 100,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Tunis,No,No,from 50 to 100,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Bizerte,No,No,300-500,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Tunis,No,No,from 50 to 100,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Nabeul,No,No,from 50 to 100,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Tunis,No,No,300-500,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,sousse,No,No,300-500,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Sfax,No,No,300-500,logistics,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,RH,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,RH,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,tunis,No,No,300-500,RH,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,RH,yes,E-mail,yes,10
industrial manufacturing,car manufacturing,Sfax,No,No,300-500,RH,yes,E-mail,No,10
industrial manufacturing,car manufacturing,Ben Arous,No,No,from 50 to 100,RH,yes,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,RH,yes,E-mail,No,10
industrial manufacturing,car manufacturing,Sousse,No,No,300-500,RH,yes,E-mail,No,10
industrial manufacturing,car manufacturing,Tunis,No,No,300-500,RH,yes,E-mail,No,10
industrial manufacturing,car manufacturing,Zaghouan,No,No,300-500,agent comercial,yes,E-mail,No,10
industrial manufacturing,car manufacturing,Kélibia,No,No,from 50 to 100,agent comercial,yes,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Kélibia,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Ben Arous,No,No,300-500,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Ben Arous,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Ben Arous,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Nabeul,No,No,300-500,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Nabeul,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Menzel Temime,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Ben Arous,No,No,300-500,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,300-500,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,300-500,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Ben Arous,No,No,300-500,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Ben Arous,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Ben Arous,No,No,300-500,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,300-500,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sousse,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,300-500,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Sfax,No,No,300-500,agent comercial,No,E-mail,No,10
industrial manufacturing,car manufacturing,Bizerte,No,No,300-500,agent comercial,No,E-mail,No,10
chemicals,plastics,Monastir,No,No,300-500,agent comercial,No,E-mail,No,10
chemicals,plastics,Ariana,No,No,more than 500,agent comercial,No,E-mail,No,10
chemicals,plastics,Ariana,No,No,more than 500,agent comercial,No,E-mail,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
chemicals,plastics,MaNouba,No,No,300-500,agent comercial,No,E-mail,No,10
chemicals,plastics,MaNouba,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
chemicals,plastics,Tunis,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
chemicals,plastics,Ben Arous,No,No,300-500,agent comercial,No,E-mail,No,10
chemicals,plastics,MaNouba,No,No,300-500,agent comercial,No,E-mail,No,10
chemicals,plastics,MaNouba,No,No,300-500,agent comercial,No,E-mail,No,10
chemicals,plastics,Tunis,No,No,from 50 to 100,agent comercial,No,E-mail,No,10
chemicals,plastics,Ariana,No,No,from 50 to 100,agent comercial,No,Phone,No,10
chemicals,plastics,Ariana,No,No,from 50 to 100,agent comercial,No,Phone,No,10
chemicals,plastics,Tunis,No,No,300-500,agent comercial,No,Phone,No,10
chemicals,plastics,Tunis,No,No,300-500,agent comercial,No,Phone,No,10
chemicals,plastics,Tunis,No,No,300-500,agent comercial,No,Phone,No,10
chemicals,plastics,Tunis,No,No,from 50 to 100,agent comercial,No,Phone,No,10
chemicals,plastics,Tunis,No,No,from 50 to 100,agent comercial,No,Phone,No,10
chemicals,plastics,Tunis,No,No,300-500,agent comercial,No,Phone,No,10
chemicals,plastics,Tunis,No,No,300-500,agent comercial,No,Phone,No,10
chemicals,plastics,Ben Arous,No,No,300-500,agent comercial,No,Phone,No,10
chemicals,plastics,tunis,No,No,from 50 to 100,agent comercial,No,Phone,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,No,Phone,No,10
chemicals,plastics,Sfax,No,No,300-500,agent comercial,No,Phone,No,10
chemicals,plastics,tunis,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,plastics,tunis,No,No,300-500,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,300-500,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,300-500,agent comercial,yes,Phone,No,10
chemicals,plastics,Tunis,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,plastics,Ben Arous,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,300-500,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,300-500,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,plastics,Gabes,No,No,300-500,agent comercial,yes,Phone,No,10
chemicals,plastics,Gabes,No,No,300-500,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,300-500,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,agent comercial,yes,Phone,No,10
chemicals,plastics,Siliana,No,No,300-500,marketing agent,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,300-500,marketing agent,yes,Phone,No,10
chemicals,plastics,Gabes,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,plastics,Sfax,No,No,300-500,marketing agent,yes,Phone,No,10
chemicals,plastics,Tunis,No,No,300-500,marketing agent,yes,Phone,No,10
chemicals,plastics,MaNouba,No,No,300-500,marketing agent,yes,Phone,No,10
chemicals,plastics,MaNouba,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,plastics,Ben Arous,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,plastics,Ben Arous,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,plastics,Ben Arous,No,No,300-500,marketing agent,yes,Phone,No,10
chemicals,plastics,Ben Arous,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,plastics,Ben Arous,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,plastics,Ben Arous,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,plastics,Gabes,No,No,300-500,marketing agent,yes,Phone,No,10
chemicals,plastics,Ben Arous,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,plastics,Ben Arous,No,No,from 50 to 100,marketing agent,yes,Phone,No,10
chemicals,plastics,Gabes,No,No,300-500,marketing agent,yes,Phone,No,10
chemicals,pharmaceutical,Gabes,No,No,300-500,marketing agent,yes,Phone,No,10
chemicals,pharmaceutical,Médnine,No,No,from 50 to 100,marketing agent,yes,E-mail,No,10
